V1	V2
FORMAT	0
27	0
WK16-16	27
WK16-33	0
WK16-66	0
WK16-80	0
WK16-97	0
WP-07	0
WP-15	0
WP-23	0
WP-40	0
WP-48	0
WK16-03	0
WK16-17	0
WK16-34	0
WK16-49	0
WK16-68	0
WK16-85	0
WK16-98	0
WP-08	0
WP-16	0
WP-24	0
WP-41	0
WP-49	0
WK16-04	0
WK16-37	0
WK16-54	0
WK16-70	0
WK16-86	0
WP-01	0
WP-09	0
WP-17	0
WP-34	0
WP-42	0
WP-50	0
WK16-06	0
WK16-23	0
WK16-38	0
WK16-55	0
WK16-72	0
WK16-87	0
WP-02	0
WP-10	0
WP-18	0
WP-35	0
WP-43	0
WP-51	0
WK16-11	0
WK16-27	0
WK16-40	0
WK16-56	0
WK16-73	0
WK16-90	0
WP-03	0
WP-11	0
WP-19	0
WP-36	0
WP-44	0
WP-52	0
WK16.12	0
WK16-28	0
WK16-44	0
WK16-58	0
WK16-75	0
WK16-92	0
WP-04	0
WP-12	0
WP-20	0
WP-37	0
WP-45	0
WP-53	0
WK16-13	0
WK16-30	0
WK16-46	0
WK16-62	0
WK16-77	0
WK16-94	0
WP-05	0
WP-13	0
WP-21	0
WP-38	0
WP-46	0
WP-54	0
WK16-15	0
WK16-31	0
WK16-47	0
WK16-63	0
WK16-78	0
WK16-96	0
WP-06	0
WP-14	0
WP-22	0
WP-39	0
WP-47	0
WK16-20	0
