rare_allele_shared_with	common_allele_shared_with	unique
11	171	0
163	163	0
167	167	0
109	109	0
176	176	0
181	181	0
182	182	0
36	146	0
180	180	0
135	135	0
39	143	0
137	137	0
177	177	0
172	172	0
178	178	0
172	172	0
182	182	0
182	182	0
171	171	0
180	180	0
168	168	0
181	181	0
177	177	0
135	135	0
180	180	0
178	178	0
175	175	0
179	179	0
178	178	0
143	143	0
163	163	0
180	180	0
13	169	0
24	158	0
174	174	0
112	112	0
159	159	0
43	139	0
179	179	0
67	67	0
144	144	0
173	173	0
86	96	0
175	175	0
181	181	0
178	178	0
178	178	0
179	179	0
183	183	0
180	180	0
181	181	0
138	138	0
157	157	0
167	167	0
66	116	0
164	164	0
181	181	0
135	135	0
129	129	0
162	162	0
182	182	0
180	180	0
156	156	0
181	181	0
176	176	0
33	149	0
163	163	0
175	175	0
168	168	0
167	167	0
182	182	0
180	180	0
181	181	0
179	179	0
174	174	0
181	181	0
39	143	0
180	180	0
182	182	0
153	153	0
177	177	0
179	179	0
175	175	0
171	171	0
182	182	0
178	178	0
173	173	0
182	182	0
182	182	0
179	179	0
169	169	0
182	182	0
56	126	0
182	182	0
36	146	0
38	38	0
182	182	0
181	181	0
137	137	0
180	180	0
180	180	0
171	171	0
175	175	0
177	177	0
86	96	0
171	171	0
181	181	0
170	170	0
182	182	0
181	181	0
156	156	0
182	182	0
119	119	0
160	160	0
173	173	0
170	170	0
174	174	0
154	154	0
146	146	0
142	142	0
145	145	0
46	136	0
132	132	0
171	171	0
126	126	0
135	135	0
182	182	0
179	179	0
175	175	0
181	181	0
148	148	0
144	144	0
182	182	0
170	170	0
177	177	0
182	182	0
181	181	0
177	177	0
182	182	0
66	116	0
173	173	0
172	172	0
177	177	0
121	121	0
81	81	0
174	174	0
167	167	0
18	164	0
180	180	0
61	61	0
179	179	0
146	146	0
168	168	0
183	183	0
176	176	0
114	114	0
128	128	0
182	182	0
180	180	0
19	163	0
168	168	0
180	180	0
80	102	0
179	179	0
182	182	0
154	154	0
86	86	0
174	174	0
60	122	0
165	165	0
171	171	0
100	100	0
182	182	0
175	175	0
182	182	0
